Location,Region,Base TCO,Tariff Impact,TCO Increase %,New TCO,Risk Level
"Atlanta, Georgia",US,1952.1,144.651,7.410019978484709,2096.7509999999997,Medium
"Salt Lake City, Utah",US,1619.1,126.69800000000002,7.8252115372737965,1745.798,Medium
"Boden, Sweden",EU,499.5,26.689000000000004,5.343143143143144,526.189,Medium
"Johor, Malaysia",APAC,1681.8,115.51800000000001,6.868712094184803,1797.318,Medium
"Evanston, Wyoming",US,1270.2,101.08800000000001,7.958431743032595,1371.288,Medium
"Kristiansand, Norway",EU,596.9,31.278000000000006,5.2400737141899825,628.178,Medium
"Florence, South Carolina",US,1713.4,126.594,7.388467374810317,1839.9940000000001,Medium
"Sines, Portugal",EU,1450.7,71.474,4.926862893775419,1522.174,Low
Iceland (Reykjanes),EU,774.1,46.189,5.966800155018731,820.289,Medium
"Des Moines, Iowa",US,1443.2,114.06200000000001,7.903409090909092,1557.2620000000002,Medium
